table with row headers in column A,,,,,,,,,,,,,,,,,,,,,,
"Part III.  Population of Counties, Earliest Census to 1990",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
POPULATION OF COUNTIES -- ALABAMA: 1800-1990,,,,,,,,,,,,,,,,,,,,,,
County,1990,1980,1970,1960,1950,1940,1930,1920,1910,1900,1890,1880,1870,1860,1850,1840,1830,1820,1810,1800,Notes,
Crenshaw ,"13,635","14,110","13,188","14,909","18,981","23,631","23,656","23,017","23,313","19,668","15,425","11,726","11,156",--- ,--- ,--- ,--- ,--- ,--- ,--- ,See note 5,
Cullman ,"67,613","61,642","52,445","45,572","49,046","47,343","41,051","33,034","28,321","17,849","13,439","6,355",--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,"*Blount, Winston; Morgan",
Dale ,"49,633","47,821","52,938","31,066","20,828","22,685","23,175","22,711","21,608","21,189","17,225","12,677","11,325","12,197","6,382","7,397","2,031",--- ,--- ,--- ,*Henry,
Dallas ,"48,130","53,981","55,296","56,667","56,270","55,245","55,094","54,697","53,401","54,657","49,350","48,433","40,705","33,625","29,727","25,199","14,017","6,003",--- ,--- ,,
DeKalb ,"54,651","53,658","41,981","41,417","45,048","43,075","40,104","34,426","28,261","23,558","21,106","12,675","7,126","10,705","8,245","5,929",--- ,--- ,--- ,--- ,,
Elmore ,"49,210","43,390","33,535","30,524","31,649","34,546","34,280","28,085","28,245","26,099","21,732","17,502","14,477",--- ,--- ,--- ,--- ,--- ,--- ,--- ,See note 6,
Escambia ,"35,518","38,440","34,906","33,511","31,443","30,671","27,963","22,464","18,889","11,320","8,666","5,719","4,041",--- ,--- ,--- ,--- ,--- ,--- ,--- ,"*Conecuh, Baldwin",
Etowah ,"99,840","103,057","94,144","96,980","93,892","72,580","63,399","47,275","39,109","27,361","21,926","15,398","10,109",--- ,--- ,--- ,--- ,--- ,--- ,--- ,See note 7,
Fayette ,"17,962","18,809","16,252","16,148","19,388","21,651","18,443","18,365","16,248","14,132","12,823","10,135","7,136","12,850","9,681","6,942","3,547",--- ,--- ,--- ,"*Tuscaloosa, Marion",
Franklin ,"27,814","28,350","23,933","21,988","25,705","27,552","25,372","22,011","19,369","16,511","10,681","9,155","8,006","18,627","19,610","14,270","11,078","4,988",--- ,--- ,,
Geneva ,"23,647","24,253","21,924","22,310","25,899","29,172","30,104","29,315","26,230","19,096","10,690","4,342","2,959",--- ,--- ,--- ,--- ,--- ,--- ,--- ,"*Coffee, Dale; Henry",
Greene ,"10,153","11,021","10,650","13,600","16,482","19,185","19,745","18,133","22,717","24,182","22,007","21,931","18,399","30,859","31,441","24,024","15,026","4,554",--- ,--- ,,
Hale ,"15,498","15,604","15,888","19,537","20,832","25,533","26,265","24,289","27,883","31,011","27,501","26,553","21,792",--- ,--- ,--- ,--- ,--- ,--- ,--- ,See note 8,
Henry ,"15,374","15,302","13,254","15,286","18,674","21,912","22,820","21,547","20,943","36,147","24,847","18,761","14,191","14,918","9,019","5,787","4,020","2,638",--- ,--- ,,
Houston ,"81,331","74,632","56,574","50,718","46,522","45,665","45,935","37,334","32,414",--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,"*Henry, Dale, Geneva",
Jackson ,"47,796","51,407","39,202","36,681","38,998","41,802","36,881","35,864","32,918","30,508","28,026","25,114","19,410","18,283","14,088","15,715","12,700","8,751",--- ,--- ,,
Jefferson ,"651,525","671,324","644,991","634,864","558,928","459,930","431,493","310,054","226,476","140,420","88,501","23,272","12,345","11,746","8,989","7,131","6,855",--- ,--- ,--- ,,
Lamar ,"15,715","16,453","14,335","14,271","16,441","19,708","18,001","18,149","17,487","16,084","14,187","12,142","8,893",--- ,--- ,--- ,--- ,--- ,--- ,--- ,See note 9,
Lauderdale ,"79,661","80,546","68,111","61,622","54,179","46,230","41,130","39,556","30,936","26,559","23,739","21,035","15,091","17,420","17,172","14,485","11,781","4,963",--- ,--- ,,
Lawrence ,"31,513","30,170","27,281","24,501","27,128","27,880","26,942","24,307","21,984","20,124","20,725","21,392","16,658","13,975","15,258","13,313","14,984",--- ,--- ,--- ,See note 1,
Lee ,"87,146","76,283","61,268","49,754","45,073","36,455","36,063","32,821","32,867","31,826","28,694","27,262","21,750",--- ,--- ,--- ,--- ,--- ,--- ,--- ,See note 10,
Limestone ,"54,135","46,005","41,699","36,513","35,766","35,642","36,629","31,341","26,880","22,387","21,201","21,600","15,017","15,306","16,483","14,374","14,807","9,871",--- ,--- ,,
Lowndes ,"12,658","13,253","12,897","15,417","18,018","22,661","22,878","25,406","31,894","35,651","31,550","31,176","25,719","27,716","21,915","19,539","9,410",--- ,--- ,--- ,See note 11,
Macon ,"24,928","26,829","24,841","26,717","30,561","27,654","27,103","23,561","26,049","23,126","18,439","17,371","17,727","26,802","26,898","11,247",--- ,--- ,--- ,--- ,,
Madison ,"238,912","196,966","186,540","117,348","72,903","66,317","64,623","51,268","47,041","43,702","38,119","37,625","31,267","26,451","26,427","25,706","27,990","17,481","4,699",--- ,,
Marengo ,"23,084","25,047","23,819","27,098","29,494","35,736","36,426","36,065","39,923","38,315","33,095","30,890","26,151","31,171","27,831","17,264","7,700","2,933",--- ,--- ,,
Marion ,"29,830","30,041","23,788","21,837","27,264","28,776","25,967","22,008","17,495","14,494","11,347","9,364","6,059","11,182","7,833","5,847","4,058",--- ,--- ,--- ,,
Marshall ,"70,832","65,622","54,211","48,018","45,090","42,395","39,802","32,669","28,553","23,289","18,935","14,585","9,871","11,472","8,846","7,553",--- ,--- ,--- ,--- ,See note 12,
Mobile ,"378,643","364,980","317,308","314,301","231,105","141,974","118,363","100,117","80,854","62,740","51,971","48,653","49,311","41,131","27,600","18,741","6,267","2,672",--- ,--- ,See note 13,
Monroe ,"23,968","22,651","20,883","22,372","25,732","29,465","30,070","28,884","27,155","23,666","18,990","17,091","14,214","15,667","12,013","10,680","8,782","8,838",--- ,--- ,,
Montgomery ,"209,085","197,038","167,790","169,210","138,965","114,420","98,671","80,853","82,178","72,047","56,172","52,356","43,704","35,904","29,711","24,574","12,695","6,604",--- ,--- ,,
Morgan ,"100,043","90,231","77,306","60,454","52,924","48,148","46,176","40,196","33,781","28,820","24,089","16,428","12,187","11,335","10,125","9,841","9,062","5,263",--- ,--- ,1820: Cataco; see note 14,
Perry ,"12,759","15,012","15,388","17,358","20,439","26,610","26,385","25,373","31,222","31,783","29,332","30,741","24,975","27,724","22,285","19,086","11,490",--- ,--- ,--- ,See note 1,
Pickens ,"20,699","21,481","20,326","21,882","24,349","27,671","24,902","25,353","25,055","24,402","22,470","21,479","17,690","22,316","21,512","17,118","6,622",--- ,--- ,--- ,*Tuscaloosa,
Pike ,"27,595","28,050","25,038","25,987","30,608","32,493","32,240","31,631","30,815","29,172","24,423","20,640","17,423","24,435","15,920","10,108","7,108",--- ,--- ,--- ,See note 15,
Randolph ,"19,881","20,075","18,331","19,477","22,513","25,516","26,861","27,064","24,659","21,647","17,219","16,575","12,006","20,059","11,581","4,973",--- ,--- ,--- ,--- ,,
Russell ,"46,860","47,356","45,394","46,351","40,364","35,775","27,377","27,448","25,937","27,083","24,093","24,837","21,636","26,592","19,548","13,513",--- ,--- ,--- ,--- ,,
St. Clair ,"50,009","41,205","27,956","25,388","26,687","27,336","24,510","23,383","20,715","19,425","17,353","14,462","9,360","11,013","6,829","5,638","5,975","4,166",--- ,--- ,,
Shelby ,"99,358","66,298","38,037","32,132","30,362","28,962","27,576","27,097","26,949","23,684","20,886","17,236","12,218","12,618","9,536","6,112","5,704","2,416",--- ,--- ,,
Sumter ,"16,174","16,908","16,974","20,041","23,610","27,321","26,929","25,569","28,699","32,710","29,574","28,728","24,109","24,035","22,250","29,937",--- ,--- ,--- ,--- ,,
Talladega ,"74,107","73,826","65,280","65,495","63,639","51,832","45,241","41,005","37,921","35,773","29,346","23,360","18,064","23,520","18,624","12,587",--- ,--- ,--- ,--- ,,
Tallapoosa ,"38,826","38,676","33,840","35,007","35,074","35,270","31,188","29,744","31,034","29,675","25,460","23,401","16,963","23,827","15,584","6,444",--- ,--- ,--- ,--- ,,
Tuscaloosa ,"150,522","137,541","116,029","109,047","94,092","76,036","64,153","53,680","47,559","36,147","30,352","24,957","20,081","23,200","18,056","16,583","13,646","8,229",--- ,--- ,,
Walker ,"67,670","68,660","56,246","54,211","63,769","64,201","59,445","50,593","37,013","25,162","16,078","9,479","6,543","7,980","5,124","4,032","2,202",--- ,--- ,--- ,See note 16,
Washington ,"16,694","16,821","16,241","15,372","15,612","16,188","16,365","14,279","14,454","11,134","7,935","4,538","3,912","4,669","2,713","5,300","3,474",--- ,"2,920","1,250",See note 1,
Wilcox ,"13,568","14,755","16,303","18,739","23,476","26,279","24,880","31,080","33,810","35,631","30,816","31,828","28,377","24,618","17,352","15,278","9,548","2,917",--- ,--- ,,
Winston ,"22,053","21,953","16,654","14,858","18,250","18,746","15,596","14,378","12,855","9,554","6,552","4,253","4,155","3,576","1,542",--- ,--- ,--- ,--- ,--- ,*Walker; 1850: Hancock,
,,,,,,,,,,,,,,,,,,,,,,
ALABAMA NOTES,,,,,,,,,,,,,,,,,,,,,,
"Most of present-day Alabama was part of Georgia until the south-central part was included in Mississippi Territory, whose establishment was authorized by Congress in 1798 and agreed to by Georgia in 1802.  In 1804, Mississippi Territory was expanded to include the rest of Alabama except for the Gulf Coast portion, which was added in 1812 although still in dispute with Spain until 1819.  Alabama became a territory in 1817, and was admitted as a State on December 14, 1819 with substantially its present boundaries.",,,,,,,,,,,,,,,,,,,,,,
"Census coverage of Alabama began in 1800, included much of the State by 1820, and added the rest by 1840.  The totals for 1800 and 1810 are for areas then in Mississippi Territory. In 1820 the official State total (127,901) did not include the population (16,416) of three counties whose census returns only arrived in Washington in 1822.",,,,,,,,,,,,,,,,,,,,,,
County Notes:,,,,,,,,,,,,,,,,,,,,,,
"Note 1: Populations for 1800 and 1810 are totals of those counties of Mississippi Territory entirely or mostly within present-day Alabama. Population for 1820 excludes three counties, Lawrence (8,652), Perry (4,118), and Washington (3,646), whose returns were received too late for inclusion in the official State total.",,,,,,,,,,,,,,,,,,,,,,
"Note 2: Bullock: *Pike, Macon, Montgomery, Barbour.",,,,,,,,,,,,,,,,,,,,,,
"Note 3: Chilton: *Bibb, Shelby, Autauga, Perry; 1870: Baker.",,,,,,,,,,,,,,,,,,,,,,
"Note 4: Cleburne: *Calhoun, Randolph, Talladega.",,,,,,,,,,,,,,,,,,,,,,
"Note 5: Crenshaw: *Butler, Covington, Pike, Lowndes; Coffee.",,,,,,,,,,,,,,,,,,,,,,
"Note 6: Elmore: *Coosa, Autauga, Montgomery, Tallapoosa.",,,,,,,,,,,,,,,,,,,,,,
"Note 7: Etowah: *Cherokee, DeKalb, St. Clair, Marshall, Calhoun, Blount.",,,,,,,,,,,,,,,,,,,,,,
"Note 8: Hale: *Greene, Marengo, Perry, Tuscaloosa.",,,,,,,,,,,,,,,,,,,,,,
"Note 9: Lamar: *Fayette, Marion; 1870: Sanford.",,,,,,,,,,,,,,,,,,,,,,
"Note 10: Lee: *Russell, Chambers, Macon, Tallapoosa.",,,,,,,,,,,,,,,,,,,,,,
"Note 11: Lowndes: *Montgomery, Dallas, Henry; Butler, Wilcox.",,,,,,,,,,,,,,,,,,,,,,
"Note 12: Marshall: *Blount, Jackson; St. Clair, Madison.",,,,,,,,,,,,,,,,,,,,,,
"Note 13: Mobile: Population for 1890 includes 384 Indians (Geronimo's Apaches) at Mount Vernon Barracks, reported separately.",,,,,,,,,,,,,,,,,,,,,,
Note 14: Morgan: Morgan's 1820-30 census boundaries were the same as those of 1850-1870 and nearly the same as those of 1880-1990.,,,,,,,,,,,,,,,,,,,,,,
"Note 15: Pike: *Henry, Montgomery; Butler.",,,,,,,,,,,,,,,,,,,,,,
"Note 16: Walker: *Marion, Tuscaloosa, Blount, Jefferson.",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
POPULATION OF BOROUGHS AND CENSUS AREAS -- ALASKA: 1880-1990,,,,,,,,,,,,,,,,,,,,,,
Name,1990,1980,1970,1960,1950,1939,1929,1920,1910,1900,1890,1880,Notes,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
ALASKA,"550,043","401,851","300,382","226,167","128,643","72,524","59,278","55,036","64,356","63,592","32,052","33,426",See notes 1 and 2,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Aleutians East Borough,"2,464",--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,See note 3,,,,,,,,,
Aleutians West Census Area,"9,478","7,768","8,057","6,011",--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,See note 4,,,,,,,,,
Anchorage Borough    ,"226,338","174,431","124,542","82,833",--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,,,,,,,,,,
Angoon,--- ,--- ,503,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,To Skagway-Yakutat-Angoon ,,,,,,,,,
Bethel Census Area   ,"13,656","10,999","7,579","5,537",--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,"1970 pop. in 1980 area: 8,729",,,,,,,,,
Bristol Bay Borough   ,"1,410","1,094","1,147",--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,,,,,,,,,,
Cordova-McCarthy,--- ,--- ,"1,857","1,759",--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,To Valdez-Cordova,,,,,,,,,
Dillingham Census Area   ,"4,012","4,616","3,485","4,024",--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,See note 5,,,,,,,,,
Fairbanks North Star Borough  ,"77,720","53,983","45,864","43,412",--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,1960-70: Fairbanks,,,,,,,,,
Haines Borough    ,"2,117","1,680","1,504",--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,"From Lynn Canal-Icy Straits; 1970 pop. in 1980 area: 1,401",,,,,,,,,
Juneau Borough    ,"26,751","19,528","13,556","9,745",--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,,,,,,,,,,
Kenai Peninsula Borough   ,"40,802","25,282","14,250","6,097",--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,"1960-70: Kenai-Cook Inlet; 1970 pop. in 1980 area: 16,586",,,,,,,,,
Ketchikan Gateway Borough   ,"13,828","11,316","10,041","10,070",--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,1960-70: Ketchikan,,,,,,,,,
Kodiak Island Borough   ,"13,309","9,939","9,409","7,174",--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,1960-70: Kodiak,,,,,,,,,
Kuskokwim,--- ,--- ,"2,306","2,301",--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,To Yukon-Koyukuk and Bethel,,,,,,,,,
Lake and Peninsula Borough,"1,668",--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,See note 6,,,,,,,,,
Lynn Canal-Icy Straits,--- ,--- ,--- ,"2,945",--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,To Haines and Skagway-Yakutat,,,,,,,,,
Matanuska-Susitna Borough    ,"39,683","17,816","6,509","5,188",--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,1960: Palmer-Wasilla-Talkeetna,,,,,,,,,
Nome Census Area   ,"8,288","6,537","5,749","6,091",--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,,,,,,,,,,
North Slope Borough   ,"5,979","4,199","2,663","2,133",--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,See note 7,,,,,,,,,
Northwest Arctic Borough,"6,113","4,831","4,434","3,560",--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,See note 8A,,,,,,,,,
Outer Ketchikan,--- ,--- ,"1,676",--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,To Prince of Wales-Outer Ketchikan,,,,,,,,,
Prince of Wales-Outer Ketchikan Census Area,"6,278","3,822","2,106","1,772",--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,"1960-70: Prince of Wales; 1970 pop. in 1980 area: 3,782",,,,,,,,,
Seward,--- ,--- ,"2,336","2,956",--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,To Kenai Peninsula,,,,,,,,,
Sitka Borough    ,"8,588","7,803","6,109","6,690",--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,,,,,,,,,,
Skagway-Yakutat-Angoon Census Area   ,"4,385","3,478","2,157",--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,"1960-70: Skagway-Yakutat; 1970 pop. in 1980 area: 2,792",,,,,,,,,
Southeast Fairbanks Census Area  ,"5,913","5,676","4,179",--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,"1970 pop. in 1980 area: 4,308",,,,,,,,,
Upper Yukon,--- ,--- ,"1,684","1,619",--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,"To Yukon-Koyukuk, North Slope, and Southeast Fairbanks",,,,,,,,,
Valdez-Cordova Census Area   ,"9,952","8,348","3,098","2,844",--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,See note 8B,,,,,,,,,
Wade Hampton Census Area  ,"5,791","4,665","3,917","3,128",--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,,,,,,,,,,
Wrangell-Petersburg Census Area   ,"7,042","6,167","4,913","4,181",--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,,,,,,,,,,
Yukon-Koyukuk Census Area   ,"8,478","7,873","4,752","4,097",--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,"1970 pop. in 1980 area: 7,039",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
First Judicial Division,--- ,--- ,--- ,--- ,"28,203","25,241","19,304","17,402","15,216",--- ,--- ,--- ,See note 9,,,,,,,,,
Second Judicial Division,--- ,--- ,--- ,--- ,"12,272","11,877","10,127","10,890","12,351",--- ,--- ,--- ,See note 9,,,,,,,,,
Third Judicial Division,--- ,--- ,--- ,--- ,"59,518","19,312","16,309","16,231","20,078",--- ,--- ,--- ,See note 9,,,,,,,,,
Fourth Judicial Division,--- ,--- ,--- ,--- ,"28,650","16,094","13,538","10,513","16,711",--- ,--- ,--- ,See note 9,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Northern District,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,"30,569","7,134","9,964",See note 10,,,,,,,,,
Southern District,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,"33,023","24,918","23,462",See note 10,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
ALASKA NOTES,,,,,,,,,,,,,,,,,,,,,,
"Alaska was purchased from Russia in 1867, with essentially its present boundaries.  It was made a territory in 1912 and admitted as a State on January 3, 1959.",,,,,,,,,,,,,,,,,,,,,,
"Census coverage of Alaska began in 1880.  For the censuses of 1930 and 1940, Alaska actually was enumerated in the fall of the preceding year  (1929, 1939).",,,,,,,,,,,,,,,,,,,,,,
County Notes:,,,,,,,,,,,,,,,,,,,,,,
"Note 1: Alaska has no counties; the names, boundaries, and designations of the subdivisions reported in the census have evolved considerably over recent decades.  In 1990 and 1980, most of the population of the State lived in entities designated as Boroughs; the remainder was reported by Census Areas (sometimes abbreviated C.A.).  In 1970, the census was reported by Census Divisions, some of which corresponded to boroughs.  In 1960, the census was reported by 24 Election Districts.  The table in Part III lists areas that existed in 1990 with their 1990 names and designations. In both the table and the notes, areas listed without any designation had ceased to exist by 1990, when all areas were either Boroughs or Census Areas.",,,,,,,,,,,,,,,,,,,,,,
"Note 2: For areas that existed in 1960, 1970, or 1980 but not in 1990, the notes specify the areas of which they became part.  (Small portions may have come from or gone to other areas not specified.)  No designations appear in the table for these extinguished areas; in 1980 they were Census Areas, in 1970 Census Divisions, and in 1960 Election Districts.",,,,,,,,,,,,,,,,,,,,,,
"Note 3: Aleutians East Borough: formed from Aleutian Islands (now Aleutians West) Census Area (1987). 1980 pop. in 1990 area: 1,643.",,,,,,,,,,,,,,,,,,,,,,
"Note 4: Aleutians West Census Area: in 1960-80, Aleutian Islands.  1980 pop. in 1990 area: 6,125.",,,,,,,,,,,,,,,,,,,,,,
"Note 5: Dillingham Census Area: in 1960-70, Bristol Bay (Census Division). 1970 pop. in 1980 area: 3,872; 1980 pop. in 1990 area: 3,232.",,,,,,,,,,,,,,,,,,,,,,
"Note 6: Lake and Peninsula Borough: formed from Dillingham Census Area (1989). 1980 pop. in 1990 area: 1,384.",,,,,,,,,,,,,,,,,,,,,,
"Note 7: North Slope Borough: formed 1972, from Barrow, Upper Yukon, and Kobuk (Northwest Arctic).  Populations shown for 1960-70 are for Barrow. 1970 pop. in 1980 area: 3,451.",,,,,,,,,,,,,,,,,,,,,,
"Note 8A: Northwest Arctic Borough: formed 1986, primarily from Kobuk Census Area. Populations shown for 1960-80 are for Kobuk.  1970 pop. in 1980 area: 4,048; 1980 pop. in 1990 area: 4,831.",,,,,,,,,,,,,,,,,,,,,,
"Note 8B: Valdez-Cordova Census Area: in 1960-70, Valdez-Chitina-Whittier. 1970 pop. in 1980 area: 4,977.",,,,,,,,,,,,,,,,,,,,,,
"Note 9: For 1910 through 1950, Alaska Territory was reported by four Judicial Divisions.  These corresponded to the areas listed in the table approximately as follows (names are shortened in some cases):",,,,,,,,,,,,,,,,,,,,,,
"   First Judicial Division: Angoon, Haines, Juneau, Ketchikan, Lynn Canal, Outer Ketchikan, Prince of Wales, Sitka, Skagway, and Wrangell.",,,,,,,,,,,,,,,,,,,,,,
"   Second Judicial Division: Barrow, Nome, North Slope, Northwest Arctic, and Wade Hampton.",,,,,,,,,,,,,,,,,,,,,,
"   Third Judicial Division: Aleutians (East and West), Anchorage, Bristol  Bay, Dillingham, Cordova, Kenai, Kodiak, Lake and Peninsula, ",,,,,,,,,,,,,,,,,,,,,,
"   Matanuska, Seward, and Valdez.",,,,,,,,,,,,,,,,,,,,,,
"   Fourth Judicial Division: Bethel, Fairbanks, Kuskokwim, Southeast  Fairbanks, Upper Yukon, and Yukon-Koyukuk.",,,,,,,,,,,,,,,,,,,,,,
"Note 10: In 1880, 1890, and 1900, Alaska was reported by two Districts.  The Northern District corresponded roughly to Judicial Divisions 2 and 4 of 1910, and the Southern District corresponded roughly to Judicial Divisions 1 and 3 of 1910 (see note 9).",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
POPULATION OF COUNTIES -- ARIZONA: 1860-1990,,,,,,,,,,,,,,,,,,,,,,
County,1990,1980,1970,1960,1950,1940,1930,1920,1910,1900,1890,1880,1870,1860,Notes,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
ARIZONA,"3,665,228","2,718,215","1,770,900","1,302,161","749,587","499,261","435,573","334,162","204,354","122,931","88,243","40,440","9,658","6,482",See notes 1 and 2,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Apache ,"61,591","52,108","32,298","30,438","27,767","24,095","17,765","13,196","9,196","8,297","4,281","5,283",--- ,--- ,*Yavapai,,,,,,,
